scenario,strategy,repeat,success_rate,primary_success_rate,fallback_usage_rate,fallback_success_rate,fallback_accuracy,fallback_macro_f1,fallback_precision,fallback_recall,human_review_rate,p50,p95,p99,success_p95,scheduler_lag_p95,recovery_seconds,retry_count,rejected_count,circuit_open_seconds,requests_during_outage,primary_calls,estimated_cost_per_request
outage,C,4,0.44166666666666665,0.44166666666666665,0.0,0.0,,,,,0.0,0.015499999994062501,0.032000000006519,0.032000000006519,0.032000000006519,0.014333333333100001,0.8470000000030269,0,60,2.0160000000032596,7,60,0.0005
outage,D,4,0.9083333333333333,0.44166666666666665,0.5583333333333333,0.4666666666666667,0.835820895522388,0.9073359073359074,1.0,0.8373015873015873,0.09166666666666666,0.015499999994062501,0.046999999991385,0.046999999991385,0.046999999991385,0.01436666669537435,0.8310000000288711,0,60,2.0,7,60,0.0005
latency,A,0,0.65,0.65,0.0,0.0,,,,,0.0,0.032000000006519,0.31205000000481947,0.312999999994644,0.046999999991385,0.015116666691416194,,0,0,0.0,0,120,0.001
latency,B,0,0.8166666666666667,0.8166666666666667,0.0,0.0,,,,,0.0,0.032000000006519,1.030999999988125,1.0721099999817671,0.719000000011874,0.014333333333100001,,75,0,0.0,0,195,0.0016250000000000001
latency,C,0,0.6333333333333333,0.6333333333333333,0.0,0.0,,,,,0.0,0.030999999988125002,0.31205000000481947,0.3251500000059597,0.046999999991385,0.01600000001490005,,0,30,1.0,0,90,0.00075
latency,D,0,0.9333333333333333,0.625,0.375,0.30833333333333335,0.8222222222222222,0.9010989010989011,1.0,0.8277777777777778,0.06666666666666667,0.030999999988125002,0.31200000000535505,0.312999999994644,0.31200000000535505,0.015000000025611,,0,30,1.014999999984866,0,90,0.00075
latency,B,1,0.8166666666666667,0.8166666666666667,0.0,0.0,,,,,0.0,0.032000000006519,1.0167500000025023,1.0441499999942605,0.7214000000079973,0.016666666678308,,75,0,0.0,0,195,0.0016250000000000001
latency,C,1,0.625,0.625,0.0,0.0,,,,,0.0,0.030999999988125002,0.31200000000535505,0.312999999994644,0.046999999991385,0.013750000003783047,,0,31,1.0160000000032596,0,89,0.0007416666666666666
latency,D,1,0.9416666666666667,0.625,0.375,0.31666666666666665,0.8444444444444444,0.9153439153439153,1.0,0.85,0.058333333333333334,0.030999999988125002,0.29699999999138504,0.30915000000823056,0.29699999999138504,0.015333333351494002,,0,31,1.0160000000032596,0,89,0.0007416666666666666
latency,A,1,0.65,0.65,0.0,0.0,,,,,0.0,0.032000000006519,0.312999999994644,0.312999999994644,0.047000000020489006,0.01436666669537435,,0,0,0.0,0,120,0.001
latency,C,2,0.6333333333333333,0.6333333333333333,0.0,0.0,,,,,0.0,0.030999999988125002,0.31200000000535505,0.312999999994644,0.032000000006519,0.015333333351494002,,0,30,1.0160000000032596,0,90,0.00075
latency,D,2,0.9416666666666667,0.625,0.375,0.31666666666666665,0.8444444444444444,0.9153439153439153,1.0,0.85,0.058333333333333334,0.030999999988125002,0.29699999999284027,0.31200000000535505,0.29699999999138504,0.015333333351494002,,0,31,1.0320000000065193,0,89,0.0007416666666666666
latency,A,2,0.65,0.65,0.0,0.0,,,,,0.0,0.032000000006519,0.31200000000535505,0.312999999994644,0.032000000006519,0.01603333334807135,,0,0,0.0,0,120,0.001
