scenario,strategy,metric,n,mean,std,ci95_low,ci95_high
empty,C,success_p95,5,0.04338000000745499,0.006501692088548905,0.03530708301369756,0.05145291700121242
empty,C,scheduler_lag_p95,5,0.01435666668372344,0.00044246781402068126,0.01380727032869004,0.014906063038756839
empty,C,recovery_seconds,0,,,,
empty,C,retry_count,5,0.0,0.0,0.0,0.0
empty,C,rejected_count,5,30.2,0.4472135954999579,29.64471097896044,30.75528902103956
empty,C,circuit_open_seconds,5,1.0123999999952502,0.0069498201385240444,1.0037706585352535,1.021029341455247
empty,C,requests_during_outage,5,0.0,0.0,0.0,0.0
empty,C,primary_calls,5,89.8,0.4472135954999579,89.24471097896044,90.35528902103955
empty,C,estimated_cost_per_request,5,0.0007483333333333333,3.7267799624996753e-06,0.0007437059248246703,0.0007529607418419963
empty,D,success_rate,5,0.9416666666666667,0.015590239111558109,0.9223088280384567,0.9610245052948766
empty,D,primary_success_rate,5,0.665,0.03555121501283587,0.6208573362261605,0.7091426637738396
empty,D,fallback_usage_rate,5,0.33499999999999996,0.03555121501283592,0.29085733622616033,0.3791426637738396
empty,D,fallback_success_rate,5,0.2766666666666667,0.025276251480171832,0.24528205519419272,0.30805127813914074
empty,D,fallback_accuracy,5,0.8272534464475079,0.032956363228299264,0.7863327167152022,0.8681741761798135
empty,D,fallback_macro_f1,5,0.8971104668751726,0.019786390590890546,0.8725424180240661,0.9216785157262791
empty,D,fallback_precision,5,1.0,0.0,1.0,1.0
empty,D,fallback_recall,5,0.8231196581196581,0.029628670815080305,0.7863308042539423,0.859908511985374
empty,D,human_review_rate,5,0.058333333333333334,0.015590239111558088,0.03897549470512338,0.07769117196154329
empty,D,p50,5,0.030999999988125006,3.878959614448864e-18,0.030999999988125002,0.03099999998812501
empty,D,p95,5,0.0439999999944118,0.0067082039257312384,0.035670664687222145,0.05232933530160146
empty,D,p99,5,0.04700000000774145,1.510102368135196e-11,0.046999999988991056,0.04700000002649185
empty,D,success_p95,5,0.0439999999944118,0.0067082039257312384,0.035670664687222145,0.05232933530160146
empty,D,scheduler_lag_p95,5,0.01420666667869427,0.00030221405760116123,0.01383141836361983,0.014581914993768711
empty,D,recovery_seconds,0,,,,
empty,D,retry_count,5,0.0,0.0,0.0,0.0
empty,D,rejected_count,5,30.2,0.4472135954999579,29.64471097896044,30.75528902103956
empty,D,circuit_open_seconds,5,1.009200000000419,0.00840832920428944,0.9987596803424076,1.0196403196584307
empty,D,requests_during_outage,5,0.0,0.0,0.0,0.0
empty,D,primary_calls,5,89.8,0.4472135954999579,89.24471097896044,90.35528902103955
empty,D,estimated_cost_per_request,5,0.0007483333333333333,3.7267799624996753e-06,0.0007437059248246703,0.0007529607418419963
error10,A,success_rate,5,0.8983333333333332,0.01989556064385556,0.873629731957778,0.9230369347088884
error10,A,primary_success_rate,5,0.8983333333333332,0.01989556064385556,0.873629731957778,0.9230369347088884
error10,A,fallback_usage_rate,5,0.0,0.0,0.0,0.0
error10,A,fallback_success_rate,5,0.0,0.0,0.0,0.0
error10,A,fallback_accuracy,0,,,,
error10,A,fallback_macro_f1,0,,,,
error10,A,fallback_precision,0,,,,
error10,A,fallback_recall,0,,,,
error10,A,human_review_rate,5,0.0,0.0,0.0,0.0
error10,A,p50,5,0.031000000005587402,1.5940917565382474e-11,0.030999999985794138,0.031000000025380666
error10,A,p95,5,0.032000000006519,0.0,0.032000000006519,0.032000000006519
error10,A,p99,5,0.032000000006519,0.0,0.032000000006519,0.032000000006519
